[ 2014-03-21T10:40:46+08:00 ] /tp_test/ | INFO: Run ParseTemplate Behavior [ RunTime:0.028304s ]
[ 2014-03-21T10:40:46+08:00 ] /tp_test/ | INFO: Tag[ view_parse ] --END-- [ RunTime:0.028617s ]
[ 2014-03-21T10:40:46+08:00 ] /tp_test/ | INFO: Tag[ view_filter ] --START--
[ 2014-03-21T10:40:46+08:00 ] /tp_test/ | INFO: Run ContentReplace Behavior [ RunTime:0.001198s ]
[ 2014-03-21T10:40:46+08:00 ] /tp_test/ | INFO: Run TokenBuild Behavior [ RunTime:0.001046s ]
[ 2014-03-21T10:40:46+08:00 ] /tp_test/ | INFO: Run WriteHtmlCache Behavior [ RunTime:0.000755s ]
[ 2014-03-21T10:40:46+08:00 ] /tp_test/ | INFO: Run ShowRuntime Behavior [ RunTime:0.001071s ]
[ 2014-03-21T10:40:46+08:00 ] /tp_test/ | INFO: Tag[ view_filter ] --END-- [ RunTime:0.004655s ]
[ 2014-03-21T10:40:46+08:00 ] /tp_test/ | INFO: Tag[ view_template ] --START--
[ 2014-03-21T10:40:46+08:00 ] /tp_test/ | INFO: Run LocationTemplate Behavior [ RunTime:0.005357s ]
[ 2014-03-21T10:40:46+08:00 ] /tp_test/ | INFO: Tag[ view_template ] --END-- [ RunTime:-0.033817s ]
[ 2014-03-21T10:40:46+08:00 ] /tp_test/ | INFO: Tag[ view_parse ] --START--
[ 2014-03-21T10:40:46+08:00 ] /tp_test/ | INFO: Run ParseTemplate Behavior [ RunTime:0.008741s ]
[ 2014-03-21T10:40:46+08:00 ] /tp_test/ | INFO: Tag[ view_parse ] --END-- [ RunTime:-0.010803s ]
[ 2014-03-21T10:40:46+08:00 ] /tp_test/ | INFO: Tag[ view_filter ] --START--
[ 2014-03-21T10:40:46+08:00 ] /tp_test/ | INFO: Run ContentReplace Behavior [ RunTime:0.000209s ]
[ 2014-03-21T10:40:46+08:00 ] /tp_test/ | INFO: Run TokenBuild Behavior [ RunTime:0.000188s ]
[ 2014-03-21T10:40:46+08:00 ] /tp_test/ | INFO: Run WriteHtmlCache Behavior [ RunTime:0.000036s ]
[ 2014-03-21T10:40:46+08:00 ] /tp_test/ | INFO: Run ShowRuntime Behavior [ RunTime:0.000146s ]
